datetime,city,state,country,shape,summary,report_date
05/20/2024 21:50,05/20/2024 21:50,Dundalk,MD,USA,Rectangle,I saw an object falling quickly from the sky
05/20/2024 21:45,05/20/2024 21:45,Owings Mills,MD,USA,Circle,Rapidly accelerating object moving through big dipper to south approached by 2 objects coming from the south in a sweeping motion
05/20/2024 16:44,05/20/2024 16:44,Manteca,CA,USA,Cube,"Unknown object in the sky in Manteca, CA"
05/20/2024 16:00,05/20/2024 16:00,Eskişehir,Eskişehir,Türkiye,Egg,It was a pitch-black object moving very quickly.
05/20/2024 14:00,05/20/2024 14:00,Helena,MT,USA,Cylinder,Craft flew over the Lewis and Clark Valley in Montana
05/20/2024 11:57,05/20/2024 11:57,Apache Junction,AZ,USA,Disk,Taking photo Southern directions at the Superstation Mountains in AZ
05/20/2024 09:50,05/20/2024 09:50,Glendale,AZ,USA,Triangle,3 glowing orbs seemingly connected in triangle moving VERY fast
05/19/2024 21:00,05/19/2024 21:00,Cape Coral,FL,USA,Other,Circular ended triangle craft
05/19/2024 18:08,05/19/2024 18:08,North Richland Hills,TX,USA,Other,Corbell Jellyfish that was not cloaked flew over my house.
05/19/2024 16:30,05/19/2024 16:30,Kahului,HI,USA,Triangle,"Sitting in parking lot, son spotted object moving in odd fashion across Central Maui followed by second object 5-10 minutes later"
05/19/2024 12:00,05/19/2024 12:00,Los Angeles,CA,USA,Oval,Round Meallic object in sky
05/19/2024 06:40,05/19/2024 06:40,New York,NY,USA,Other,It was one solid structure not rotating or undulating at all about 700 feet up moving smoothly in a south westerly direction
05/19/2024 00:04,05/19/2024 00:04,Springfield,MO,USA,Star,Erratically moving star-like light in the sky zig-zagging from one side of the sky to another.
05/18/2024 21:40,05/18/2024 21:40,Schaumburg,IL,USA,Flash,A solid white meteor like object with long solid white tail
05/18/2024 20:41,05/18/2024 20:41,Hurricane,WV,USA,Chevron,Saw strange V shaped object that appeared to be coming down
05/18/2024 19:19,05/18/2024 19:19,El Paso,TX,USA,Orb,"I was outside talking with neighbors, happened to look up and noticed objects dancing around before instantly disappearing"
05/18/2024 17:00,05/18/2024 17:00,Tucson,AZ,USA,Sphere,"Large silver sphere flying slowly at 5pm in east Tucson, May 18, 2024"
05/18/2024 00:30,05/18/2024 00:30,Oostende,West Flanders,Belgium,Light,"Initially, the object appeared to be flying at approximately 10-20k ft in a westerly/south-westerly direction."
05/18/2024 00:30,05/18/2024 00:30,Glen Rose,TX,USA,Light,Bright white let then white with red lights.
05/17/2024 21:05,05/17/2024 21:05,Beeville,TX,USA,Circle,Clear sky cloud forming into an orb.
05/17/2024 20:36,05/17/2024 20:36,Port St. Lucie,FL,USA,Unknown,Object entered atmosphere from the NE and Appeared to drop three other objects and then moved across the horizon at hyper speed
05/17/2024 20:30,05/17/2024 20:30,Lake Placid,FL,USA,Fireball,"Orange contrail, disappeared; reappeared white; huge translucent teardrop, then 2-3 small lights detached, traveling within the firebal"
05/17/2024 18:12,05/17/2024 18:12,Denver,CO,USA,Changing,Metallic sparkling shape shifting object spotted overhead moving at speed of jet from west to east a straight line viewed with binocs
05/17/2024 16:30,05/17/2024 16:30,Chicago,IL,USA,Circle,"Object embedded in cloud, 2nd from bottom"
